,Mean,Median,Std Dev,Min,Max,% Above 0.8,% Above 0.9
ML Model,0.729,0.716,0.141,0.5,1.0,32.4,14.8
AI + Guide,0.841,0.9,0.139,0.3,0.95,79.5,3.4
